"Genes","Scores","Type","Description"
"IFIH1","0.001015","Core","interferon induced with helicase C domain 1"
"FAP","0.0009915","Core","fibroblast activation protein alpha"
"SNN","0.0009815","Core","stannin"
"SH2D4B","0.0009777","Core","SH2 domain containing 4B"
"SEPHS2","0.0009653","Core","selenophosphate synthetase 2"
"UBAC1","0.00095","Peripheral","UBA domain containing 1"
"TXNDC11","0.0009306","Core","thioredoxin domain containing 11"
"CAVIN1","0.0009135","Core","caveolae associated protein 1"
"ERRFI1","0.0008739","Core","ERBB receptor feedback inhibitor 1"
"PTPN22","0.0008448","Core","protein tyrosine phosphatase non-receptor type 22"
"SELPLG","0.0008383","Peripheral","selectin P ligand"
"TRAIP","0.0008199","Core","TRAF interacting protein"
"CCL20","0.0008154","Core","C-C motif chemokine ligand 20"
"ZNF831","0.0008066","Core","zinc finger protein 831"
"CD40","0.0008055","Core","CD40 molecule"
"UTS2","0.0008036","Core","urotensin 2"
"NOS2","0.0007775","Core","nitric oxide synthase 2"
"NCOA5","0.0007591","Core","nuclear receptor coactivator 5"
"RBM17","0.0007351","Core","RNA binding motif protein 17"
"ZC3H12C","0.0007268","Core","zinc finger CCCH-type containing 12C"
"CXCR2","0.0007205","Core","C-X-C motif chemokine receptor 2"
"NTAQ1","0.0007142","Peripheral","N-terminal glutamine amidase 1"
"NTAN1","0.0007142","Peripheral","N-terminal asparagine amidase"
"PHTF1","0.0007139","Core","putative homeodomain transcription factor 1"
"RSBN1","0.0007139","Core","round spermatid basic protein 1"
"MIR4518","0.000712","Core","microRNA 4518"
"CXCR1","0.0007106","Core","C-X-C motif chemokine receptor 1"
"KIF11","0.0007035","Core","kinesin family member 11"
"IRF5","0.0007001","Core","interferon regulatory factor 5"
"RIPK2","0.0006782","Core","receptor interacting serine/threonine kinase 2"
"ITLN1","0.0006692","Core","intelectin 1"
"TNFRSF14","0.0006553","Core","TNF receptor superfamily member 14"
"PPP5C","0.0006549","Core","protein phosphatase 5 catalytic subunit"
"TMEM258","0.0006538","Core","transmembrane protein 258"
"CD244","0.0006457","Core","CD244 molecule"
"HIF3A","0.0006455","Core","hypoxia inducible factor 3 subunit alpha"
"FEN1","0.0006449","Core","flap structure-specific endonuclease 1"
"FADS1","0.0006431","Core","fatty acid desaturase 1"
"MIR611","0.0006387","Core","microRNA 611"
"MYRF","0.0006387","Core","myelin regulatory factor"
"TNFRSF14-AS1","0.0006387","Core","TNFRSF14 antisense RNA 1"
"RUFY4","0.0006308","Core","RUN and FYVE domain containing 4"
"RPS6KB1","0.000626","Core","ribosomal protein S6 kinase B1"
"HHEX","0.0006255","Core","hematopoietically expressed homeobox"
"RNFT1","0.0006244","Core","ring finger protein, transmembrane 1"
"GNA12","0.0006165","Core","G protein subunit alpha 12"
"TPGS1","0.0006122","Peripheral","tubulin polyglutamylase complex subunit 1"
"C11orf49","0.0006122","Peripheral","chromosome 11 open reading frame 49"
"TUBD1","0.0006115","Core","tubulin delta 1"
"GMPPB","0.0006098","Core","GDP-mannose pyrophosphorylase B"
"RNFT1-DT","0.0006056","Core","RNFT1 divergent transcript"
"TBC1D3P1-DHX40P1","0.0006056","Core","TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene"
"PRKAR2A","0.0005962","Core","protein kinase cAMP-dependent type II regulatory subunit alpha"
"TPGS2","0.0005941","Peripheral","tubulin polyglutamylase complex subunit 2"
"RNU6-450P","0.0005906","Core","RNA, U6 small nuclear 450, pseudogene"
"REL","0.0005851","Core","REL proto-oncogene, NF-kB subunit"
"FADS2","0.0005836","Core","fatty acid desaturase 2"
"REL-DT","0.0005821","Core","REL divergent transcript"
"RN7SL632P","0.0005821","Core","RNA, 7SL, cytoplasmic 632, pseudogene"
"SLC26A3","0.0005803","Core","solute carrier family 26 member 3"
"MIR1908","0.0005738","Core","microRNA 1908"
"CCDC8","0.0005671","Core","coiled-coil domain containing 8"
"SLC39A11","0.0005542","Core","solute carrier family 39 member 11"
"CTF1","0.0005496","Core","cardiotrophin 1"
"UBA7","0.0005463","Core","ubiquitin like modifier activating enzyme 7"
"VMP1","0.0005419","Core","vacuole membrane protein 1"
"RAB26","0.0005379","Peripheral","RAB26, member RAS oncogene family"
"TMEM59","0.0005379","Peripheral","transmembrane protein 59"
"ERP44","0.0005379","Peripheral","endoplasmic reticulum protein 44"
"LINC00598","0.0005364","Core","long intergenic non-protein coding RNA 598"
"MIR21","0.000533","Core","microRNA 21"
"IP6K1","0.0005328","Core","inositol hexakisphosphate kinase 1"
"INKA1","0.0005286","Core","inka box actin regulator 1"
"AMIGO3","0.0005255","Core","adhesion molecule with Ig like domain 3"
"CAMKV","0.0005255","Core","CaM kinase like vesicle associated"
"MIR5193","0.0005255","Core","microRNA 5193"
"TTLL1","0.000517","Peripheral","TTL family tubulin polyglutamylase complex subunit L1"
"SETD1A","0.0005167","Core","SET domain containing 1A, histone lysine methyltransferase"
"HES5","0.0005151","Core","hes family bHLH transcription factor 5"
"FBXL19","0.0005148","Core","F-box and leucine rich repeat protein 19"
"ORAI3","0.000511","Core","ORAI calcium release-activated calcium modulator 3"
"TRIM62","0.0005079","Peripheral","tripartite motif containing 62"
"MMEL1","0.0005067","Core","membrane metalloendopeptidase like 1"
"PRXL2B","0.0005067","Core","peroxiredoxin like 2B"
"LRRC49","0.0004856","Peripheral","leucine rich repeat containing 49"
"STX1B","0.0004841","Core","syntaxin 1B"
"HSD3B7","0.0004802","Core","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
"ETS1","0.0004763","Core","ETS proto-oncogene 1, transcription factor"
"PDZK1","0.0004749","Peripheral","PDZ domain containing 1"
"BACH2","0.0004673","Core","BTB domain and CNC homolog 2"
"TNPO3","0.0004636","Core","transportin 3"
"UBE2J2","0.0004585","Core","ubiquitin conjugating enzyme E2 J2"
"USP19","0.0004558","Peripheral","ubiquitin specific peptidase 19"
"B3GALT6","0.0004535","Core","beta-1,3-galactosyltransferase 6"
"C1QTNF12","0.0004507","Core","C1q and TNF related 12"
"ETS1-AS1","0.0004507","Core","ETS1 antisense RNA 1"
"SDF4","0.0004507","Core","stromal cell derived factor 4"
"BCL7C","0.00045","Core","BAF chromatin remodeling complex subunit BCL7C"
"TRIM3","0.0004491","Peripheral","tripartite motif containing 3"
"FBXL19-AS1","0.000446","Core","FBXL19 antisense RNA 1"
"MIR762","0.000446","Core","microRNA 762"
"MIR762HG","0.000446","Core","MIR762 host gene"
"NOD1","0.0004458","Peripheral","nucleotide binding oligomerization domain containing 1"
"ATG5","0.0004412","Peripheral","autophagy related 5"
"SH2B3","0.0004385","Core","SH2B adaptor protein 3"
"KRTCAP2","0.000438","Core","keratinocyte associated protein 2"
"MFSD8","0.0004352","Peripheral","major facilitator superfamily domain containing 8"
"CLN5","0.0004352","Peripheral","CLN5 intracellular trafficking protein"
"DPM3","0.0004279","Core","dolichyl-phosphate mannosyltransferase subunit 3, regulatory"
"BANK1","0.0004222","Core","B cell scaffold protein with ankyrin repeats 1"
"CAPNS2","0.0004214","Peripheral","calpain small subunit 2"
"TNFRSF4","0.0004202","Core","TNF receptor superfamily member 4"
"SLC50A1","0.0004176","Core","solute carrier family 50 member 1"
"TRIM46","0.0004176","Core","tripartite motif containing 46"
"ICAM1","0.000415","Core","intercellular adhesion molecule 1"
"MYRF-AS1","0.0004118","Core","MYRF antisense RNA 1"
"IL1R1","0.0004037","Core","interleukin 1 receptor type 1"
"ATXN2","0.0003976","Core","ataxin 2"
"PANK4","0.0003953","Core","pantothenate kinase 4 (inactive)"
"SHARPIN","0.0003944","Peripheral","SHANK associated RH domain interactor"
"RBCK1","0.0003937","Peripheral","RANBP2-type and C3HC4-type zinc finger containing 1"
"PRDM1","0.0003906","Core","PR/SET domain 1"
"NEU4","0.0003879","Core","neuraminidase 4"
"RNF31","0.0003755","Peripheral","ring finger protein 31"
"CXCR2P1","0.0003737","Core","C-X-C motif chemokine receptor 2 pseudogene 1"
"FOS","0.0003656","Core","Fos proto-oncogene, AP-1 transcription factor subunit"
"MIR4464","0.0003643","Core","microRNA 4464"
"SMC1B","0.0003637","Core","structural maintenance of chromosomes 1B"
"HPN","0.0003636","Peripheral","hepsin"
"AMZ1","0.0003618","Core","archaelysin family metallopeptidase 1"
"FAM118A","0.0003611","Core","family with sequence similarity 118 member A"
"ASAP2","0.0003589","Core","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
"SPATA2L","0.0003577","Peripheral","spermatogenesis associated 2 like"
"ERN1","0.0003553","Core","endoplasmic reticulum to nucleus signaling 1"
"PPP2R3C","0.0003545","Core","protein phosphatase 2 regulatory subunit B''gamma"
"EFNA1","0.0003535","Core","ephrin A1"
"NAA20","0.0003489","Peripheral","N-alpha-acetyltransferase 20, NatB catalytic subunit"
"FAM177A1","0.0003485","Core","family with sequence similarity 177 member A1"
"GAL3ST2","0.0003485","Core","galactose-3-O-sulfotransferase 2"
"CAPN15","0.0003479","Peripheral","calpain 15"
"CAPN5","0.0003479","Peripheral","calpain 5"
"CAPN13","0.0003479","Peripheral","calpain 13"
"CAPN6","0.0003479","Peripheral","calpain 6"
"CAPN8","0.0003479","Peripheral","calpain 8"
"CAPN11","0.0003479","Peripheral","calpain 11"
"PRORP","0.0003459","Core","protein only RNase P catalytic subunit"
"PTPN13","0.0003443","Peripheral","protein tyrosine phosphatase non-receptor type 13"
"GPR183","0.0003428","Core","G protein-coupled receptor 183"
"MUC1","0.0003423","Core","mucin 1, cell surface associated"
"CYTH1","0.000334","Peripheral","cytohesin 1"
"IFNLR1","0.0003332","Core","interferon lambda receptor 1"
"UBAC2","0.0003296","Core","UBA domain containing 2"
"MIR548AN","0.000328","Core","microRNA 548an"
"TAB3","0.0003257","Peripheral","TGF-beta activated kinase 1 (MAP3K7) binding protein 3"
"IL17D","0.0003251","Peripheral","interleukin 17D"
"MIR623","0.0003173","Core","microRNA 623"
"RAB33A","0.0003166","Peripheral","RAB33A, member RAS oncogene family"
"SPATA2","0.0003123","Peripheral","spermatogenesis associated 2"
"CAPNS1","0.0003113","Peripheral","calpain small subunit 1"
"NAA25","0.0003112","Peripheral","N-alpha-acetyltransferase 25, NatB auxiliary subunit"
"GPR18","0.0003108","Core","G protein-coupled receptor 18"
"CAPN9","0.0003038","Peripheral","calpain 9"
"FADS3","0.0003013","Core","fatty acid desaturase 3"
"AAMP","0.0003004","Peripheral","angio associated migratory cell protein"
"STK11","0.0002996","Core","serine/threonine kinase 11"
"SPINT1","0.0002995","Peripheral","serine peptidase inhibitor, Kunitz type 1"
"IKBKG","0.000298","Peripheral","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma"
"BIRC3","0.0002929","Peripheral","baculoviral IAP repeat containing 3"
"RIMBP2","0.0002839","Peripheral","RIMS binding protein 2"
"CCL19","0.0002834","Core","C-C motif chemokine ligand 19"
"OPTN","0.000281","Peripheral","optineurin"
"STAT1","0.0002805","Peripheral","signal transducer and activator of transcription 1"
"JAK1","0.0002802","Peripheral","Janus kinase 1"
"IL12A","0.0002797","Peripheral","interleukin 12A"
"UBASH3A","0.000277","Core","ubiquitin associated and SH3 domain containing A"
"TSLP","0.0002769","Peripheral","thymic stromal lymphopoietin"
"PRKCB","0.0002769","Core","protein kinase C beta"
"CLIP3","0.0002761","Peripheral","CAP-Gly domain containing linker protein 3"
"IL21","0.0002759","Peripheral","interleukin 21"
"IL12RB1","0.0002756","Peripheral","interleukin 12 receptor subunit beta 1"
"IL22","0.000275","Peripheral","interleukin 22"
"CEP350","0.0002712","Peripheral","centrosomal protein 350"
"ERC2","0.0002688","Peripheral","ELKS/RAB6-interacting/CAST family member 2"
"CSF3","0.0002679","Peripheral","colony stimulating factor 3"
"NDFIP1","0.0002676","Core","Nedd4 family interacting protein 1"
"BIRC2","0.0002671","Peripheral","baculoviral IAP repeat containing 2"
"STAT4","0.0002665","Peripheral","signal transducer and activator of transcription 4"
"CHUK","0.0002657","Peripheral","component of inhibitor of nuclear factor kappa B kinase complex"
"DENND1B","0.0002645","Core","DENN domain containing 1B"
"IKBKB","0.0002636","Peripheral","inhibitor of nuclear factor kappa B kinase subunit beta"
"LINC01220","0.0002628","Core","long intergenic non-protein coding RNA 1220"
"SPATA48","0.0002628","Core","spermatogenesis associated 48"
"TNFSF14","0.0002615","Peripheral","TNF superfamily member 14"
"TECPR1","0.0002583","Peripheral","tectonin beta-propeller repeat containing 1"
"FAS","0.0002567","Core","Fas cell surface death receptor"
"IL23A","0.0002555","Peripheral","interleukin 23 subunit alpha"
"RN7SKP9","0.0002551","Core","RN7SK pseudogene 9"
"UBAC2-AS1","0.0002551","Core","UBAC2 antisense RNA 1"
"IFNA1","0.000255","Peripheral","interferon alpha 1"
"EGFLAM","0.0002545","Peripheral","EGF like, fibronectin type III and laminin G domains"
"EYS","0.0002545","Peripheral","eyes shut homolog"
"BCL3","0.0002543","Peripheral","BCL3 transcription coactivator"
"TAB1","0.0002534","Peripheral","TGF-beta activated kinase 1 (MAP3K7) binding protein 1"
"TAB2","0.000252","Peripheral","TGF-beta activated kinase 1 (MAP3K7) binding protein 2"
"TNFRSF25","0.0002517","Peripheral","TNF receptor superfamily member 25"
"LCE4A","0.000251","Peripheral","late cornified envelope 4A"
"CAPN7","0.0002503","Peripheral","calpain 7"
"IL7","0.000249","Peripheral","interleukin 7"
"SPINT2","0.0002485","Peripheral","serine peptidase inhibitor, Kunitz type 2"
"LCE1C","0.0002472","Peripheral","late cornified envelope 1C"
"UNC13A","0.0002445","Peripheral","unc-13 homolog A"
"LCE5A","0.0002443","Peripheral","late cornified envelope 5A"
"IFNG","0.0002432","Peripheral","interferon gamma"
"TNF","0.0002426","Peripheral","tumor necrosis factor"
"IFNB1","0.0002422","Peripheral","interferon beta 1"
"KCP","0.0002411","Core","kielin cysteine rich BMP regulator"
"LCE1F","0.0002409","Peripheral","late cornified envelope 1F"
"TRAF4","0.0002401","Peripheral","TNF receptor associated factor 4"
"LCE2D","0.000238","Peripheral","late cornified envelope 2D"
"IL9","0.0002361","Peripheral","interleukin 9"
"LCE2C","0.0002351","Peripheral","late cornified envelope 2C"
"PARD3B","0.0002347","Peripheral","par-3 family cell polarity regulator beta"
"LCE1D","0.0002344","Peripheral","late cornified envelope 1D"
"LELP1","0.0002343","Peripheral","late cornified envelope like proline rich 1"
"XIAP","0.0002337","Peripheral","X-linked inhibitor of apoptosis"
"RIMBP3B","0.0002336","Peripheral","RIMS binding protein 3B"
"CAPN3","0.0002335","Peripheral","calpain 3"
"GCG","0.0002329","Core","glucagon"
"LCE2A","0.0002316","Peripheral","late cornified envelope 2A"
"STX4","0.0002299","Core","syntaxin 4"
"ZMYND11","0.0002298","Peripheral","zinc finger MYND-type containing 11"
"IL13","0.0002285","Peripheral","interleukin 13"
"SOCS3","0.0002284","Peripheral","suppressor of cytokine signaling 3"
"LCE1E","0.0002282","Peripheral","late cornified envelope 1E"
"LCE1A","0.000228","Peripheral","late cornified envelope 1A"
"ZNF131","0.0002277","Peripheral","zinc finger protein 131"
"INSC","0.0002276","Peripheral","INSC spindle orientation adaptor protein"
"LSP1","0.0002272","Peripheral","lymphocyte specific protein 1"
"ATG12","0.0002269","Peripheral","autophagy related 12"
"LCE6A","0.0002251","Peripheral","late cornified envelope 6A"
"IL20RB","0.0002248","Peripheral","interleukin 20 receptor subunit beta"
"SPRR2A","0.0002211","Peripheral","small proline rich protein 2A"
"KIF3B","0.000221","Core","kinesin family member 3B"
"TNFRSF1B","0.0002208","Peripheral","TNF receptor superfamily member 1B"
"IL15","0.00022","Peripheral","interleukin 15"
"LCE1B","0.0002192","Peripheral","late cornified envelope 1B"
"LCE2B","0.0002191","Peripheral","late cornified envelope 2B"
"MAP3K8","0.000219","Core","mitogen-activated protein kinase kinase kinase 8"
"CSF2","0.0002184","Peripheral","colony stimulating factor 2"
"IL4","0.0002181","Peripheral","interleukin 4"
"PTMA","0.0002173","Peripheral","prothymosin alpha"
"IL5","0.0002171","Peripheral","interleukin 5"
"ACTA2","0.0002165","Core","actin alpha 2, smooth muscle"
"TRAF6","0.0002139","Peripheral","TNF receptor associated factor 6"
"MAP3K7","0.0002133","Peripheral","mitogen-activated protein kinase kinase kinase 7"
"S1PR1","0.0002131","Peripheral","sphingosine-1-phosphate receptor 1"
"MAVS","0.0002124","Peripheral","mitochondrial antiviral signaling protein"
"RPTN","0.0002124","Peripheral","repetin"
"COMMD7","0.0002119","Core","COMM domain containing 7"
